WARD,All_Res_2005,Single_2005,Condo_2005,2-4_2005,5+_2005,All_Res_2006,Single_2006,Condo_2006,2-4_2006,5+_2006,All_Res_2007,Single_2007,Condo_2007,2-4_2007,5+_2007,All_Res_2008,Single_2008,Condo_2008,2-4_2008,5+_2008,All_Res_2009,Single_2009,Condo_2009,2-4_2009,5+_2009,All_Res_2010,Single_2010,Condo_2010,2-4_2010,5+_2010,All_Res_2011,Single_2011,Condo_2011,2-4_2011,5+_2011,All_Res_2012,Single_2012,Condo_2012,2-4_2012,5+_2012,All_Res_2013,Single_2013,Condo_2013,2-4_2013,5+_2013,All_Res_2014,Single_2014,Condo_2014,2-4_2014,5+_2014,All_Res_2015,Single_2015,Condo_2015,2-4_2015,5+_2015,All_Res_2016,Single_2016,Condo_2016,2-4_2016,5+_2016,All_Res_2017,Single_2017,Condo_2017,2-4_2017,5+_2017
City of Chicago Total,"8,404","4,882","1,027","2,364",131,"11,409","6,128","1,567","3,498",216,"16,587","8,288","2,714","5,333",252,"21,921","10,253","4,695","6,583",390,"22,452","10,357","5,599","6,012",484,"22,874","10,771","6,016","5,647",440,"18,346","8,825","4,781","4,324",416,"18,402","9,383","4,410","4,239",370,"11,025","5,800","2,397","2,554",274,"7,463","4,121","1,363","1,778",201,"6,356","3,683","1,016","1,536",121,"5,886","3,525",876,"1,360",125,"5,887","3,545",886,"1,377",79
1,110,27,32,43,8,108,15,26,63,4,223,53,79,89,2,312,67,98,141,6,393,82,146,157,8,363,58,121,169,15,299,65,108,122,4,266,47,110,101,8,118,19,44,53,2,56,16,14,25,1,61,11,21,29,,33,12,10,10,1,50,9,18,22,1
10,173,120,1,52,,229,138,5,84,2,293,173,2,115,3,332,207,4,117,4,363,254,3,104,2,319,228,8,78,5,288,208,5,72,3,326,243,2,80,1,220,161,3,54,2,164,127,2,33,2,140,108,1,30,1,124,99,,24,1,110,85,,25,
11,67,31,5,29,2,61,27,7,24,3,121,51,20,49,1,187,75,24,85,3,199,67,59,69,4,298,102,95,92,9,198,69,68,54,7,229,78,76,71,4,117,36,40,39,2,72,25,20,26,1,49,20,7,21,1,59,20,14,25,,44,18,11,13,2
12,69,36,,31,2,80,32,,48,,151,55,1,92,3,259,99,18,135,7,327,119,21,181,6,322,116,28,174,4,234,91,11,127,5,248,101,12,127,8,169,69,11,85,4,84,27,3,52,2,76,31,,45,,67,29,2,35,1,52,22,2,26,2
13,128,117,4,7,,170,153,6,11,,249,221,7,21,,485,427,10,48,,566,506,18,42,,638,579,13,46,,482,438,11,32,1,490,439,19,30,2,373,341,9,23,,188,167,6,15,,135,128,2,5,,124,109,3,12,,167,146,8,13,
14,81,60,,20,1,125,80,5,40,,200,146,2,51,1,394,277,3,111,3,465,298,9,157,1,543,379,12,151,1,391,271,12,106,2,355,264,7,82,2,225,162,2,60,1,156,107,2,43,4,103,76,3,24,,96,74,2,20,,76,56,1,17,2
15,176,110,,66,,255,141,,110,4,376,181,,194,1,473,206,,264,3,430,165,1,261,3,408,179,,228,1,284,113,,169,2,312,129,,177,6,190,94,,94,2,143,54,,85,4,109,48,,58,3,81,44,,36,1,93,40,,53,
16,455,236,,215,4,658,304,3,344,7,928,376,11,528,13,"1,016",470,22,502,22,785,412,4,350,19,649,364,,270,15,497,270,1,216,10,531,271,,249,11,330,167,,156,7,229,131,,89,9,201,114,,82,5,170,87,1,77,5,205,101,,98,6
17,365,256,1,103,5,500,352,1,138,9,627,432,1,184,10,720,479,8,210,23,579,398,4,156,21,596,422,2,159,13,450,332,1,102,15,542,394,,129,19,350,221,,115,14,290,199,,80,11,195,141,,48,6,207,152,,52,3,205,138,1,61,5
